in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,abs_nm
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,None,0,7.6,270,30,580
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,549
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,518
indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7,270,60,562
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,None,0,7.6,270,120,592
indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7,270,120,549
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,575
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,550
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,550
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,551
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,538
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,0.2,498
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,0.2,476
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,0.2,491
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,180,1,492
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,150,1,397
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,1,530
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,1,497
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,1,522
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,130,1,419
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,150,1,431
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,170,1,446
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,150,10,462
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,10,509
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,10,613
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,20,590
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,150,30,500
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,30,605
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,30,518
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,30,681
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,170,30,468
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,150,30,432
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,130,30,412
indium chloride,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,130,30,502
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,None,0,7.095,178,60,625
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,None,0,7.095,178,60,520
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,60,692
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,180,120,626
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,150,120,574
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,2,472
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,200,15,601
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,620
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.600881462,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.598,230,10,462
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.33,230,10.5,463
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.605365652,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.6,230,40,505
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.33,230,40,476
indium acetate,0.4,bis(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,537
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,537
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,15,486
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,180,499
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,None,0,None,0,None,0,None,0,tetrabutylammonium myristate,0.24,7.6,285,8,545
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.4,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,4,445
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,32,543
indium myristate,2,tris(trimethylsilyl)phosphine,0.15,octadecene,5,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,6,300,30,547
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,10.14,None,0,oleic acid,14.5,None,0,None,0,None,0,None,0,15,305,20,555
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,10,300,20,525
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,dioctylamine,0.5,None,0,None,0,None,0,3.151,178,840,622
indium paltimate,0.15,tris(trimethylsilyl)phosphine,0.12,octadecene,16,trioctylphosphine,4.484190017,None,0,None,0,None,0,None,0,None,0,18,305,10,480
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,stearic acid,3.6,None,0,None,0,None,0,None,0,12,230,15,498
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,palmitic acid,3.6,None,0,None,0,None,0,None,0,12,230,5,502
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8.5,None,0,None,0,None,0,None,0,zinc stearate,0.1,None,0,8.5,300,20,500
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,myristic acid,3.6,None,0,None,0,None,0,None,0,12,230,5,512
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,oleic acid,3.6,None,0,None,0,None,0,None,0,12,230,15,512
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc acetate,1.2,oleic acid,2.4,11,240,60,430
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc oleate,1.2,None,0,11,240,60,430
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,40,500
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,1,465
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,20,495
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.91,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,455
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.268,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,460
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.288,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,457
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.308,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,456
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.248,None,0,None,0,zinc oleate,0.1,None,0,6.75,300,10,470
indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octadecene,7,None,0,myristic acid,0.26,octylamine,0.38,None,0,None,0,None,0,7.063,200,30,460
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,17,None,0,myristic acid,14.5,None,0,None,0,None,0,None,0,17,285,20,530
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,580
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.2,octadecene,6,None,0,stearic acid,0.01,hexadecylamine,0.2,None,0,zinc undecylenate,0.01,None,0,6.052,230,20,555
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,584
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc iodide,2.2,None,0,13.962,150,30,405
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc iodide,2.2,None,0,13.962,150,30,416
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc bromide,2.2,None,0,13.962,150,30,448
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc bromide,2.2,None,0,13.962,150,30,439
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc chloride,2.2,None,0,13.962,150,30,515
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,None,0,zinc chloride,2.2,None,0,13.962,150,30,508
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,3,None,0,stearic acid,0.1,hexadecylamine ,0.2,None,0,zinc undecylenate,0.08,None,0,3.052,240,20,570
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,oleic acid,0.3,None,0,None,0,zinc oleate,0.13,None,0,10,300,10,460
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,13,620
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,5,570
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,20,590
indium chloride,0.3,tris(trimethylsilyl)phosphine,0.3,octadecene,9,None,0,oleic acid,0.34,oleylamine,0.62,None,0,zinc undecylenate,0.3,None,0,9.204,210,20,595
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,230,15,623
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,660
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,200,15,548
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,220,15,570
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,260,15,600
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,None,0,11.198,180,1440,512
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,None,0,11.198,180,1440,599
indium chloride,0.45,tris(diethylamino)phosphine,1.6,toluene,3,None,0,None,0,oleylamine,15.19,None,0,zinc chloride,2.2,None,0,7.998,180,30,575
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,520
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,250,4320,517
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,0.52,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,530
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,8640,590
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,260,4320,577
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,270,4320,590
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,270,4320,595
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,280,4320,626
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,300,4320,685
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,290,4320,689
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,300,4320,729
chloroindium oxalate,4.2,tris(trimethylsilyl)phosphine,2.07,None,0,trioctylphosphine,13.45257005,None,0,None,0,None,0,None,0,trioctylphosphine oxide,11.11111111,17.112,280,4320,599
indium chloride,2.26,tris(trimethylsilyl)phosphine,2,None,0,trioctylphosphine,17.93676007,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.83,8.83,270,1140,633
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,trioctylphosphine,11.21047504,None,0,None,0,None,0,zinc oleate,2,None,0,5,280,60,423
chloroindium oxalate,1.05,tris(trimethylsilyl)phosphine,1.4,None,0,None,0,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,0.223,270,4320,610
