,in_amount_mmol,p_amount_mmol,first_sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium trifluoroacetate,"x0_indium tris(N,N?-diisopropylacetamidinato) ",x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(diethylamino)phosphine ,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x2_4-ethylpyridine,x2_None,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x5_oleylamine ,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc chloride,x7_zinc iodide,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_copper bromide,x8_dioctyl ether,x8_oleic acid,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm
0,-0.670593507,-0.880715605,0.028487968,-0.498168428,-0.326406767,-0.606822187,8.366600265,-0.50665398,-0.419933271,-0.176683477,1.484416965,-0.516762007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.3
1,6.164180303,5.816477005,2.500872114,4.453249773,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,3.296294247,-2.112634383,1.060426238,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
2,-0.118288552,-0.8468914,-0.1481109,-0.498168428,-0.223953715,-0.560770552,-0.119522861,-0.614002331,-0.419933271,-0.341121588,-1.689451872,0.163919236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
3,-0.118288552,-0.8468914,-0.1481109,-0.498168428,-0.223953715,-0.560770552,-0.119522861,-0.614002331,-0.419933271,-0.341121588,0.003278174,0.163919236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1
4,-0.532517268,-0.894245287,-0.442442346,-0.498168428,-0.326406767,1.726460688,-0.119522861,1.7476614,0.466107212,-0.345323584,-1.054678105,-0.525062997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.75
5,-0.532517268,-0.894245287,-0.442442346,-0.498168428,-0.326406767,1.726460688,-0.119522861,1.7476614,-0.419933271,-0.345323584,-1.054678105,-0.525062997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.6
6,-0.428960089,0.14754023,-0.442442346,-0.498168428,-0.326406767,1.695759597,-0.119522861,1.7476614,-0.419933271,-0.34902134,-1.054678105,-0.516762007,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.8
7,-0.428960089,0.14754023,-0.442442346,-0.498168428,-0.326406767,1.695759597,-0.119522861,1.7476614,-0.419933271,-0.34902134,-1.054678105,-0.516762007,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
8,-0.580843952,-0.407176734,-0.442442346,-0.498168428,-0.326406767,0.544468705,-0.119522861,0.566829535,-0.419933271,-0.487295023,-1.054678105,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2
9,-0.428960089,0.14754023,-0.442442346,-0.498168428,-0.326406767,1.695759597,-0.119522861,1.7476614,-0.419933271,-0.34902134,-1.054678105,-0.516762007,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2
10,-0.532517268,-0.136583093,-0.442442346,-0.498168428,-0.326406767,0.053251258,-0.119522861,-0.291957277,2.755045125,-0.546291047,-0.208313081,-0.533087288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.6
11,-0.532517268,-0.136583093,-0.442442346,-0.498168428,-0.326406767,0.053251258,-0.119522861,-0.291957277,2.755045125,-0.546291047,-0.208313081,-0.533087288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.6
12,0.503054521,1.649334936,-0.442442346,-0.176326245,-0.326406767,1.23524324,-0.119522861,4.109325132,-0.419933271,-0.33148501,-1.054678105,-0.532257189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.2
13,-0.428960089,0.729316558,-0.442442346,-0.498168428,-0.326406767,0.337236344,-0.119522861,1.7476614,-0.419933271,-0.512170839,-0.631495593,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.6
14,-0.428960089,0.354544365,-0.442442346,-0.498168428,-0.326406767,0.52911816,-0.119522861,1.7476614,-0.419933271,-0.489143901,-1.26626936,-0.527829994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
15,-0.428960089,0.134010548,-0.442442346,-0.498168428,-0.326406767,0.337236344,-0.119522861,1.7476614,-0.419933271,-0.512170839,-1.054678105,-0.516762007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.48
16,-0.428960089,0.357250301,-0.442442346,-0.498168428,-0.326406767,1.726460688,-0.119522861,1.7476614,-0.08766809,-0.345323584,-0.631495593,-0.500160025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
17,-0.428960089,-0.014815955,-0.442442346,-0.498168428,-0.326406767,-0.038852014,-0.119522861,1.7476614,-0.419933271,-0.577946084,-1.054678105,-0.530596991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2
18,-0.584295857,-0.407176734,-0.442442346,-0.498168428,-0.326406767,0.544468705,-0.119522861,0.566829535,-0.419933271,-0.487295023,-1.054678105,-0.516762007,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2
19,-0.118288552,-0.001286273,-0.442442346,-0.498168428,-0.326406767,1.726460688,-0.119522861,0.352132832,-0.419933271,-0.345323584,-0.208313081,-0.533087288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.1
20,-0.118288552,-0.001286273,-0.442442346,-0.498168428,-0.326406767,1.726460688,-0.119522861,0.352132832,-0.419933271,-0.345323584,-0.208313081,-0.527829994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
21,-0.394441029,0.911967265,-0.442442346,-0.498168428,-0.326406767,0.337236344,-0.119522861,0.99622294,-0.050749737,-0.512170839,-1.054678105,-0.516762007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
22,-0.428960089,-0.948364015,-0.442442346,-0.498168428,-0.326406767,1.695759597,-0.119522861,-0.614002331,-0.419933271,-0.34902134,-1.054678105,-0.466956062,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
23,-0.428960089,-0.271879913,-0.442442346,-0.498168428,-0.326406767,-0.038852014,-0.119522861,0.566829535,-0.419933271,-0.55732829,-1.054678105,-0.53170379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.7
24,-0.580843952,-0.407176734,-0.442442346,-0.498168428,-0.326406767,0.544468705,-0.119522861,0.566829535,-0.419933271,-0.487295023,-1.054678105,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.9
25,-0.580843952,-0.407176734,-0.442442346,-0.498168428,-0.326406767,0.544468705,-0.119522861,0.566829535,-0.419933271,-0.487295023,-1.054678105,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2
26,-0.256364791,-0.71159458,1.912209222,-0.498168428,0.3907646,-0.606822187,-0.119522861,-0.614002331,-0.419933271,1.615495839,0.849643198,-0.433752099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.7
27,-0.532517268,-0.8468914,-0.206977189,-0.250597518,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.345435637,-0.419904337,-0.522296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.7
28,-0.394441029,-0.610121964,1.559011487,-0.498168428,0.185858495,-0.606822187,-0.119522861,-0.614002331,1.795167936,1.329816136,0.426460686,-0.400548136,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5
29,-0.532517268,-0.8468914,-0.206977189,-0.250597518,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.345435637,-0.419904337,-0.522296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6
30,-0.463479149,-0.813067195,-0.059811466,-0.498168428,0.25416053,-0.3734939,-0.119522861,-0.614002331,-0.419933271,-0.24727701,-1.054678105,-0.527829994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7
31,-0.049250433,-0.610798449,3.972529344,-0.498168428,0.698123757,-0.606822187,-0.119522861,-0.614002331,-0.419933271,3.576427315,0.849643198,-0.433752099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
32,-0.663689695,-0.880715605,-0.030378322,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.23338241,0.849643198,-0.400548136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.3
