,in_amount_mmol,p_amount_mmol,first_sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium trifluoroacetate,"x0_indium tris(N,N?-diisopropylacetamidinato) ",x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(diethylamino)phosphine ,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x2_4-ethylpyridine,x2_None,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x5_oleylamine ,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc chloride,x7_zinc iodide,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_copper bromide,x8_dioctyl ether,x8_oleic acid,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm
33,-0.636074447,-0.880715605,0.146220546,-0.250597518,-0.172727188,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.009275956,1.590212593,-0.532257189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8
34,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,-0.631495593,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
35,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,0.638051942,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3
36,-0.463479149,-0.677770375,-0.265843478,-0.498168428,-0.326406767,-0.376564009,-0.119522861,-0.614002331,-0.419933271,-0.429811717,-1.096996356,-0.531150391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5
37,0.088825806,-0.136583093,-0.265843478,-0.498168428,-0.326406767,-0.376564009,-0.119522861,-0.614002331,-0.419933271,-0.429811717,-1.096996356,-0.515655208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
38,0.64113076,-0.8468914,-0.1481109,-0.250597518,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.289409024,1.484416965,-0.516762007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
39,2.021893146,0.404604189,0.154461826,-0.498168428,4.625490767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,0.214830499,1.590212593,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.1
40,-0.601555387,-0.880715605,0.146220546,-0.498168428,-0.121500662,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.065302569,1.484416965,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
41,0.088825806,-0.136583093,-0.265843478,-0.498168428,-0.326406767,-0.530069461,-0.119522861,-0.614002331,-0.419933271,-0.449028846,-1.096996356,-0.068508505,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.7
42,-0.32540291,-0.677770375,0.146220546,-0.250597518,0.288311548,-0.606822187,-0.119522861,0.674177886,1.352147694,-0.009275956,0.21486943,-0.500160025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
43,-0.32540291,-0.677770375,0.146220546,-0.250597518,0.288311548,-0.606822187,-0.119522861,0.674177886,-0.419933271,-0.009275956,0.21486943,-0.500160025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
44,1.331511953,0.066362138,2.206540668,0.244544302,2.747184806,-0.606822187,-0.119522861,-0.614002331,-0.419933271,2.063708747,0.638051942,-0.500160025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.4
45,2.021893146,0.404604189,5.444186575,1.977540672,3.77171533,-0.606822187,-0.119522861,-0.614002331,-0.419933271,5.53735879,0.638051942,-0.511228013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.7
46,-0.50490202,-0.792772672,0.087354257,-0.498168428,0.015103408,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.121329183,1.696008221,-0.527829994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.2
47,-0.68440113,-0.894245287,-0.030378322,-0.498168428,-0.237614122,-0.548490115,-0.119522861,-0.614002331,-0.419933271,-0.229852733,-0.631495593,-0.516762007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1
48,2.021893146,0.404604189,0.55828457,-0.498168428,4.625490767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,0.326883726,1.167030081,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.4
49,-0.601555387,-0.880715605,0.146220546,-0.374382973,-0.121500662,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.037289262,1.061234453,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
50,-0.670593507,-0.813067195,-0.089244611,-0.498168428,-0.322991665,-0.576121097,-0.119522861,-0.603267496,-0.419933271,-0.28649564,0.003278174,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.2
51,-0.601555387,-0.880715605,0.146220546,-0.374382973,-0.121500662,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.037289262,1.061234453,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.26
52,-0.532517268,-0.745418785,0.087354257,-0.498168428,-0.210293308,-0.511648807,-0.119522861,-0.291957277,-0.419933271,-0.109899754,-0.419904337,-0.522296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.95
53,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,0.003278174,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5
54,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,0.638051942,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5
55,0.509958333,0.911967265,-0.1481109,-0.498168428,-0.326406767,3.537825025,-0.119522861,-0.614002331,-0.419933271,0.001817314,-1.054678105,0.263531125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3
56,0.509958333,0.911967265,-0.1481109,-0.498168428,-0.326406767,3.537825025,-0.119522861,-0.614002331,-0.419933271,0.001817314,-1.054678105,0.263531125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.2
57,-0.132096176,-0.001286273,-0.442442346,0.991427902,-0.326406767,-0.606822187,-0.119522861,-0.614002331,3.682106001,0.022827294,0.849643198,1.857321351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.52
58,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,0.426460686,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6
59,-0.132096176,-0.596592282,-0.442442346,0.991427902,-0.326406767,-0.606822187,-0.119522861,-0.614002331,3.682106001,0.022827294,0.849643198,1.857321351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6
60,-0.132096176,-0.001286273,-0.442442346,0.991427902,-0.326406767,-0.606822187,-0.119522861,-0.614002331,3.682106001,0.022827294,0.849643198,4.248006691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.66
61,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,0.638051942,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
62,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,0.849643198,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
63,0.475439274,-0.244820549,-0.442442346,0.097670104,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.2558517,-0.478274738,0.849643198,1.857321351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
64,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,1.061234453,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.2
65,0.475439274,-0.244820549,-0.442442346,0.097670104,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.2558517,-0.478274738,1.484416965,1.857321351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.6
66,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,1.272825709,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.8
67,0.868956554,1.081088291,-0.442442346,2.212896891,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.326637876,0.044621647,1.484416965,1.857321351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
68,0.82062987,0.404604189,-0.442442346,1.482398853,-0.326406767,-0.606822187,-0.119522861,-0.614002331,0.192911396,-0.130853707,0.849643198,0.09751131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
69,-0.670593507,-0.880715605,-0.442442346,0.739686122,-0.326406767,-0.606822187,-0.119522861,1.532964697,-0.419933271,-0.345435637,1.061234453,-0.500160025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.3
70,-0.014731373,-0.001286273,-0.442442346,-0.498168428,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.2558517,-0.61307477,0.849643198,1.857321351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.61
