,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium laurate,x0_indium myristate,x0_indium oxalate,x0_indium paltimate,x0_indium stearate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_dioctyl ether,x8_oleic acid,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm
0,0,0,0,-0.5873781530886123,-0.6223615420978491,-0.1988639514012331,-0.2860024936341677,-0.4205770953851399,-0.5964936475153945,0.3780537524419144,-0.4984604228573468,-0.2544940876711947,-0.3196873282351509,1.5005660862829406,-0.2637505956978712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,436.0,481
1,2,2,2,7.94655624829547,7.859768874645459,4.36685192670814,-0.2860024936341677,-0.4205770953851399,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,4.240566908715231,-1.3018576440779113,-0.1811642898141499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,465.0,550
2,24,24,24,-0.2856734015245286,1.1800911714601034,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.297174705269823,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.6527458535176178,-0.5011651496890965,-0.2729268519071736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,553.0,592
3,25,25,25,-0.4149754379091359,-0.4716522605860706,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.0065272227498688,-0.1855900239260307,0.6324883566726319,-0.2544940876711947,-0.6910130989074537,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,430.0,482
4,26,26,26,-0.4149754379091359,-0.3572949665746207,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.0065272227498688,-0.1855900239260307,0.6324883566726319,-0.2544940876711947,-0.6910130989074537,-1.502030767675115,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,492.0,529
5,27,27,27,-0.4149754379091359,-0.3572949665746207,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.0065272227498688,-0.1855900239260307,0.6324883566726319,-0.2544940876711947,-0.6910130989074537,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,522.0,555
6,28,28,28,-0.4149754379091359,-0.3572949665746207,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.4802441056896751,-0.1855900239260307,0.6324883566726319,-0.2544940876711947,-0.7506388068404537,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,560.0,595
7,29,29,29,-0.4149754379091359,-0.3572949665746207,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.4802441056896751,-0.1855900239260307,0.6324883566726319,-0.2544940876711947,-0.7506388068404537,-0.3009920260918928,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,590.0,635
8,30,30,30,-0.2856734015245286,0.7605286490604793,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.4788146143725094,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.6298856240768873,-1.1016845204807075,-0.282103108116476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,478.0,518
9,31,31,31,-0.2856734015245286,0.7605286490604793,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.4788146143725094,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.6298856240768873,-1.1016845204807075,-0.282103108116476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,576.0,628
10,46,46,46,-0.2856734015245286,0.7635579813521735,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.6122476471732723,-0.1855900239260307,1.23511069904992,0.1495220689157765,-0.4871065268156828,-0.5011651496890965,-0.2362218270699641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,420.0,422
11,49,49,49,-0.2856734015245286,0.7635579813521735,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.6122476471732723,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4871065268156828,-0.5011651496890965,-0.2362218270699641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,590.0,625
12,53,53,53,-0.2425727227296595,1.384571101149451,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.297174705269823,-0.1855900239260307,0.6572536584141643,0.1944127529809956,-0.6527458535176178,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,490.0,560
13,57,57,57,0.1884340652190315,0.0592382235333095,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,-0.5964936475153945,5.45084773975342,1.070008687439704,-0.2544940876711947,-0.7586482302941403,1.5005660862829406,-0.2637505956978712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,539.0,480
14,58,58,58,-0.4753163882219526,-0.0922283910513923,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.4933458071007243,-0.1855900239260307,0.3270496351937326,-0.2544940876711947,-0.6280501312020842,-0.901511396883504,-0.2729268519071736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,573.0,618
15,59,59,59,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,4.198799952795528,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.1613899730324287,-1.502030767675115,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,428.0,502
16,60,60,60,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.583185261716843,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4907775125652892,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,423.0,507
17,61,61,61,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.583185261716843,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4907775125652892,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,573.0,531
18,62,62,62,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,4.198799952795528,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.1613899730324287,-1.502030767675115,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,478.0,538
19,63,63,63,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,4.198799952795528,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.1613899730324287,-1.502030767675115,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,568.0,606
20,64,64,64,-0.2856734015245286,0.5136380672874153,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.583185261716843,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4907775125652892,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,570.0,607
21,66,66,66,-0.4149754379091359,-0.1982550212606837,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.2753779161775005,-0.1855900239260307,0.0216109137148331,-0.2544940876711947,-0.6554712823317195,-0.901511396883504,-0.2894441130839179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,505.0,530
22,67,67,67,-0.0701700075501831,-0.4330282738669717,1.5828788302999854,-0.2860024936341677,0.3868724087658746,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,1.459517098407392,0.9000467154913294,-0.1261067525583357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,532.0,591
23,68,68,68,-0.4149754379091359,-0.5844948884516735,-0.4215817991138854,0.1105828374852358,-0.4205770953851399,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,-0.4872177688080952,-0.3009920260918928,-0.2729268519071736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,551.0,612
24,69,69,69,-0.2425727227296595,-0.3194283129284452,1.248802058731007,-0.2860024936341677,0.1561725504370132,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,2.438946956241947,1.175905638752199,0.499700468296922,-0.0710492153025215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,562.0,618
